Player,Team,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,GP,G,A,P
Justin Abdelkader,DET,L,L,1987-02-25,Muskegon,MI,USA,USA,74,213,2005,2,42,20082009,N,5,1,0,1
Pontus Aberg,PIT,R,L,1993-09-23,Stockholm,--,SWE,SWE,72,194,2012,2,37,20152016,N,18,2,3,5
Noel Acciari,FLA,R,C,1991-12-01,Johnston,RI,USA,USA,70,203,--,--,--,20162017,N,39,4,3,7
Sebastian Aho,CAR,L,C,1997-07-26,Rauma,--,FIN,FIN,72,176,2015,2,35,20182019,N,23,8,16,24
Karl Alzner,MTL,L,D,1988-09-24,Burnaby,BC,CAN,CAN,75,213,2007,1,5,20092010,N,19,0,2,2
Michael Amadio,LAK,R,C,1996-05-13,Sault Ste. Marie,ON,CAN,CAN,73,204,2014,3,90,20172018,N,1,0,1,1
Josh Anderson,CBJ,R,R,1994-05-07,Burlington,ON,CAN,CAN,75,222,2012,4,95,20162017,N,21,3,5,8
Joakim Andersson,--,L,C,1989-02-05,Munkedal,--,SWE,SWE,74,211,2007,3,88,20122013,N,5,0,1,1
Rasmus Andersson,CGY,R,D,1996-10-27,Malmö,--,SWE,SWE,73,214,2015,2,53,20182019,N,15,4,4,8
Andy Andreoff,PHI,L,C,1991-05-17,Pickering,ON,CAN,CAN,73,203,2011,3,80,20152016,N,1,0,0,0
Sven Andrighetto,--,L,R,1993-03-21,Zurich,--,CHE,CHE,70,188,2013,3,86,20172018,N,11,1,0,1
Artem Anisimov,OTT,L,C,1988-05-24,Yaroslavl,--,RUS,RUS,76,199,2006,2,54,20082009,N,11,3,0,3
Mason Appleton,WPG,R,C,1996-01-15,Green Bay,WI,USA,USA,74,193,2015,6,168,20192020,N,1,0,0,0
Josh Archibald,EDM,R,R,1992-10-06,Regina,SK,CAN,CAN,70,176,2011,6,174,20162017,N,8,1,0,1
Joel Armia,MTL,R,R,1993-05-31,Pori,--,FIN,FIN,76,213,2011,1,16,20172018,N,23,5,2,7
Viktor Arvidsson,NSH,R,R,1993-04-08,Skellefteå,--,SWE,SWE,69,180,2014,4,112,20152016,N,59,12,15,27
Zach Aston-Reese,PIT,L,C,1994-08-10,Staten Island,NY,USA,USA,72,204,--,--,--,20172018,N,17,0,2,2
