Team,Division,2015_Playoffs,2016_Playoffs,2017_Playoffs,2018_Playoffs,2019_Playoffs,2020_Playoffs
BOS,ATL,DNQ,DNQ,First Round,Second Round,Cup Final,Second Round
TBL,ATL,Cup Final,Conf. Finals,DNQ,Conf. Finals,First Round,Champions
TOR,ATL,DNQ,DNQ,First Round,First Round,First Round,DNQ
FLA,ATL,DNQ,First Round,DNQ,DNQ,DNQ,DNQ
MTL,ATL,Second Round,DNQ,First Round,DNQ,DNQ,First Round
BUF,ATL,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ
OTT,ATL,First Round,DNQ,Conf. Finals,DNQ,DNQ,DNQ
DET,ATL,First Round,First Round,DNQ,DNQ,DNQ,DNQ
WSH,MET,Second Round,Second Round,Second Round,Champions,First Round,First Round
PHI,MET,DNQ,First Round,DNQ,First Round,DNQ,Second Round
PIT,MET,First Round,Champions,Champions,Second Round,First Round,DNQ
CAR,MET,DNQ,DNQ,DNQ,DNQ,Conf. Finals,First Round
CBJ,MET,DNQ,DNQ,First Round,First Round,Second Round,First Round
NYI,MET,First Round,Second Round,DNQ,DNQ,Second Round,Conf. Finals
NYR,MET,Conf. Finals,First Round,Second Round,DNQ,DNQ,DNQ
NJD,MET,DNQ,DNQ,DNQ,First Round,DNQ,DNQ
STL,CEN,First Round,Conf. Finals,Second Round,DNQ,Champions,First Round
COL,CEN,DNQ,DNQ,DNQ,First Round,Second Round,Second Round
DAL,CEN,DNQ,Second Round,DNQ,DNQ,Second Round,Cup Final
WIN,CEN,First Round,DNQ,DNQ,Conf. Finals,First Round,DNQ
NSH,CEN,First Round,Second Round,Cup Final,Second Round,First Round,DNQ
MIN,CEN,Second Round,First Round,First Round,First Round,DNQ,DNQ
CHI,CEN,Champions,First Round,First Round,DNQ,DNQ,First Round
VGK,PAC,DNQ,DNQ,DNQ,Cup Final,First Round,Conf. Finals
EDM,PAC,DNQ,DNQ,Second Round,DNQ,DNQ,DNQ
CGY,PAC,Second Round,DNQ,First Round,DNQ,First Round,First Round
VAN,PAC,First Round,DNQ,DNQ,DNQ,DNQ,Second Round
ARI,PAC,DNQ,DNQ,DNQ,DNQ,DNQ,First Round
ANA,PAC,Conf. Finals,First Round,Conf. Finals,First Round,DNQ,DNQ
LAK,PAC,DNQ,First Round,DNQ,First Round,DNQ,DNQ
SJS,PAC,DNQ,Cup Final,First Round,Second Round,Conf. Finals,DNQ
